# From MPC 26543
# From MPC 75709
P/2008 QP20 (LINEAR-Hill),e,7.7418,324.9664,72.3540,3.491985,0.1510412,0.50647312,344.7001,02/05.0/2015,2000,g 15.5,4.0
# From MPC 64115
C/2008 R3 (LINEAR),e,43.1860,270.5392,84.3331,18.34371,0.0125451,0.89515440,28.4615,02/05.0/2015,2000,g 13.0,4.0
# From MPC 75709
P/2008 S1 (Catalina-McNaught),e,15.0740,111.3638,203.6689,3.574699,0.1458293,0.66522819,338.5814,02/05.0/2015,2000,g 15.0,4.0
# From MPC 90268
C/2008 S3 (Boattini),h,06/10.5379/2011,162.7051,54.9961,40.1666,1.003699,8.019006,2000,4.0,4.0
# From MPC 82717
P/2008 T1 (Boattini),e,2.0790,291.7402,35.9052,4.246653,0.1126248,0.27893768,286.4825,02/05.0/2015,2000,g 11.0,4.0
# From MPC 66921
C/2008 T2 (Cardinal),e,56.4702,309.6684,215.8084,18632,0.0000004,0.99993573,0.0000,06/14.5324/2009,2000,g  6.0,4.0
# From MPC 75710
P/2008 T4 (Hill),e,6.3128,44.6444,1.6438,4.461176,0.1045996,0.43469480,233.4908,02/05.0/2015,2000,g 13.5,4.0
# From MPC 66204
P/2008 WZ96 (LINEAR),e,6.9581,59.0506,337.8161,3.359425,0.1600688,0.50973878,352.1687,02/05.0/2015,2000,g 13.5,4.0
# From MPC 65057
C/2008 X3 (LINEAR),e,66.5051,337.4974,140.8562,43.44863,0.0034414,0.95621299,7.9439,02/05.0/2015,2000,g 13.0,4.0
# From MPC 65935
P/2008 Y1 (Boattini),e,8.8957,259.3589,162.7655,4.802737,0.0936420,0.73615170,202.9091,02/05.0/2015,2000,g 15.0,4.0
# From MPC 75710
P/2008 Y2 (Gibbs),e,7.2879,330.8637,162.3286,3.581120,0.1454373,0.54495513,320.1531,02/05.0/2015,2000,g 16.0,4.0
# From MPC 75710
P/2008 Y3 (McNaught),e,38.8365,262.8614,238.2676,8.028255,0.0433284,0.44847440,95.9036,02/05.0/2015,2000,g  8.5,4.0
# From MPC 88693
P/2008 Y12 (SOHO),e,23.5831,309.8385,144.3219,3.076195,0.1826767,0.97816763,0.0000,05/17.8867/2014,2000,g  9.0,4.0
# From MPC 75710
P/2009 B1 (Boattini),e,22.2256,297.0812,129.1542,6.720838,0.0565678,0.63683708,123.9221,02/05.0/2015,2000,g 13.0,4.0
# From MPC 82315
C/2009 B2 (LINEAR),e,156.9220,18.7519,192.4005,40.27549,0.0038561,0.94198459,8.3440,02/05.0/2015,2000,g 12.5,4.0
# From MPC 72850
C/2009 E1 (Itagaki),e,127.5919,106.0404,48.9943,40.37186,0.0038423,0.98519135,0.0000,04/09.3437/2009,2000,g 11.5,4.0
# From MPC 82315
C/2009 F1 (Larson),e,171.3963,357.9590,219.8067,94.31472,0.0010761,0.98038673,0.0000,06/23.4952/2009,2000,g 15.0,4.0
# From MPC 80256
C/2009 F2 (McNaught),e,59.3469,213.9793,336.2428,337.3950,0.0001590,0.98261211,0.0000,11/13.3695/2009,2000,g  6.0,4.0
# From MPC 92271
C/2009 F4 (McNaught),e,79.3755,53.5669,260.3974,6006,0.0000021,0.99909150,0.0000,12/31.5656/2011,2000,g  3.0,4.0
# From MPC 66204
C/2009 F5 (McNaught),e,84.9707,218.9297,297.1770,78.46888,0.0014179,0.97155498,0.0000,11/05.6632/2008,2000,g 10.0,4.0
# From MPC 72850
C/2009 F6 (Yi-SWAN),e,85.7383,278.5840,129.9589,506.0641,0.0000866,0.99745750,0.0000,05/06.0614/2009,2000,g  6.0,4.0
# From MPC 66466
C/2009 G1 (STEREO),e,108.1640,120.7939,175.3663,427.1322,0.0001117,0.99737245,0.0000,04/15.7666/2009,2000,g  9.0,4.0
# From MPC 67147
P/2009 K1 (Gibbs),e,5.7437,172.7697,27.4473,3.690378,0.1390266,0.63688459,285.5534,02/05.0/2015,2000,g 17.0,4.0
# From MPC 82315
C/2009 K2 (Catalina),e,66.8245,123.8592,147.5333,868.4376,0.0000385,0.99627406,0.0000,02/07.2026/2010,2000,g 10.0,4.0
# From MPC 66205
C/2009 K3 (Beshore),p,01/09.266/2011,146.680,251.413,3.90156,0.032,2000,8.5,4.0
# From MPC 66703
C/2009 K4 (Gibbs),e,34.8306,29.9153,127.4838,41.95410,0.0036270,0.96328487,7.4541,02/05.0/2015,2000,g 13.0,4.0
# From MPC 82315
C/2009 K5 (McNaught),e,103.9829,257.9040,66.1498,1723,0.0000138,0.99917210,0.0000,04/27.9664/2010,2000,g  7.5,4.0
# From MPC 67973
P/2009 L2 (Yang-Gao),e,16.6916,257.6350,343.5362,3.523675,0.1490083,0.59378013,331.5384,02/05.0/2015,2000,g 15.0,4.0
# From MPC 69905
C/2009 O2 (Catalina),e,107.9930,310.0410,133.4528,249.0087,0.0002508,0.99718144,0.0000,03/23.5653/2010,2000,g 11.0,4.0
# From MPC 75710
